size,k,ave_rate,ave_density,ave_clustering,ave_shortest_path,ave_std_rate,ave_median_rate,ave_incomp_nodes,ave_steps
6,5,1.0,0.8,0.6666666666666666,1.2,0.0,0.0,0.0,1252.8
7,5,1.0,0.6666666666666666,0.5,1.3333333333333333,0.0,0.0,0.0,1403.74
8,5,1.0,0.5714285714285714,0.5,1.4285714285714286,0.0,0.0,0.0,1603.1
9,5,1.0,0.5,0.5,1.5,0.0,0.0,0.0,1354.19
10,5,1.0,0.4444444444444444,0.5,1.6666666666666667,0.0,0.0,0.0,1056.07
11,5,1.0,0.4,0.5,1.8,0.0,0.0,0.0,1406.2
12,5,1.0,0.36363636363636365,0.5,1.9090909090909092,0.0,0.0,0.0,1108.77
13,5,1.0,0.3333333333333333,0.5,2.0,0.0,0.0,0.0,1360.13
14,5,1.0,0.3076923076923077,0.5,2.1538461538461537,0.0,0.0,0.0,1260.12
15,5,1.0,0.2857142857142857,0.5,2.2857142857142856,0.0,0.0,0.0,860.79
16,5,1.0,0.26666666666666666,0.5,2.4,0.0,0.0,0.0,765.34
17,5,1.0,0.25,0.5,2.5,0.0,0.0,0.0,718.89
18,5,1.0,0.23529411764705882,0.5,2.6470588235294117,0.0,0.0,0.0,124.11
19,5,1.0,0.2222222222222222,0.5,2.7777777777777777,0.0,0.0,0.0,620.79
20,5,1.0,0.21052631578947367,0.5,2.8947368421052633,0.0,0.0,0.0,25.39
21,5,1.0,0.2,0.5,3.0,0.0,0.0,0.0,282.06
22,5,1.0,0.19047619047619047,0.5,3.142857142857143,0.0,0.0,0.0,86.09
23,5,1.0,0.18181818181818182,0.5,3.272727272727273,0.0,0.0,0.0,479.41
24,5,1.0,0.17391304347826086,0.5,3.391304347826087,0.0,0.0,0.0,41.7
25,5,1.0,0.16666666666666666,0.5,3.5,0.0,0.0,0.0,244.67
26,5,1.0,0.16,0.5,3.64,0.0,0.0,0.0,392.89
27,5,1.0,0.15384615384615385,0.5,3.769230769230769,0.0,0.0,0.0,99.12
28,5,1.0,0.14814814814814814,0.5,3.888888888888889,0.0,0.0,0.0,646.63
29,5,1.0,0.14285714285714285,0.5,4.0,0.0,0.0,0.0,106.94
30,5,1.0,0.13793103448275862,0.5,4.137931034482759,0.0,0.0,0.0,55.19
31,5,1.0,0.13333333333333333,0.5,4.266666666666667,0.0,0.0,0.0,218.0
32,5,1.0,0.12903225806451613,0.5,4.387096774193548,0.0,0.0,0.0,73.09
