size,ave_rate,sd_rate

5,0.13,0.25357444666211937

6,0.145,0.25017216294206496

7,0.12142857142857144,0.20139817399816695

8,0.14,0.19306734576307824

9,0.12111111111111114,0.1899285115673075

10,0.15099999999999994,0.1664301655349774

11,0.15727272727272726,0.1476286384006608

12,0.15833333333333333,0.1371839802762861

13,0.13141538461538463,0.12612629717959967

14,0.15177142857142858,0.11709774741206422

15,0.18533333333333343,0.12528367810692662

16,0.179375,0.09381456110327435

17,0.15764705882352956,0.09838839777437686

18,0.16999999999999993,0.10298627500548885

19,0.15105263157894733,0.07686913727841607

20,0.15050000000000005,0.07697239765006675

