size,k,avg_rate,density,clustering,shortest_path,std_rate,median_rate,n_comp_nodes,avg_steps,avg_l1,avg_l2
5,0,0.19999999999999996,0.4,0.0,2.0,0.1264911064067352,0.8,2.4,1000.0,2.4,1.329545541356802
5,1,0.08000000000000007,0.4,0.0,1.8,0.0979795897113271,1.0,2.4666666666666663,1000.0,2.4666666666666663,1.2457139029897888
5,2,0.19999999999999996,0.4,0.0,1.6,0.0,0.8,2.4666666666666663,1000.0,2.4666666666666663,1.2980113075704196
5,3,0.08000000000000007,0.4,0.0,1.8,0.09797958971132709,1.0,2.133333333333333,1000.0,2.133333333333333,1.0873709334128634
5,4,0.5599999999999999,0.5,0.4666666666666666,1.7,0.07999999999999999,0.4,1.6,1000.0,1.6,1.1119484574082352
5,5,0.24,0.4,0.0,1.8,0.14966629547095767,0.8,2.4666666666666663,1000.0,2.4666666666666663,1.3636222623244079
5,6,0.15999999999999992,0.4,0.0,2.0,0.14966629547095767,0.8,2.5333333333333328,1000.0,2.5333333333333328,1.3538834974103378
5,7,0.15999999999999992,0.4,0.0,1.8,0.07999999999999999,0.8,2.6666666666666665,1000.0,2.6666666666666665,1.4059493788686956
5,8,0.2799999999999999,0.4,0.0,1.8,0.09797958971132716,0.8,2.533333333333333,1000.0,2.533333333333333,1.4394075279394438
5,9,0.19999999999999996,0.4,0.0,1.8,0.1264911064067352,0.8,2.333333333333333,1000.0,2.333333333333333,1.2734029905109168
15,0,0.40000000000000013,0.17142857142857143,0.06444444444444444,2.5142857142857142,0.059628479399994376,0.6,6.0,1000.0,6.0,2.1891446928438634
15,1,0.44000000000000006,0.18095238095238095,0.23333333333333336,2.380952380952381,0.03265986323710904,0.5333333333333333,5.533333333333333,1000.0,5.533333333333333,2.05500364714122
15,2,0.42666666666666664,0.18095238095238095,0.1511111111111111,2.6285714285714286,0.03265986323710904,0.6,5.4,1000.0,5.4,2.0044510489863474
15,3,0.33333333333333326,0.18095238095238095,0.12412698412698413,2.638095238095238,0.08432740427115676,0.7333333333333333,5.999999999999998,1000.0,5.999999999999998,2.051484490053347
15,4,0.30666666666666664,0.1619047619047619,0.09126984126984126,2.4761904761904763,0.08,0.7333333333333333,6.6,1000.0,6.6,2.2491829265926575
15,5,0.42666666666666664,0.18095238095238095,0.03777777777777778,2.5714285714285716,0.06798692684790378,0.6,5.733333333333334,1000.0,5.733333333333334,2.094717501843947
15,6,0.3600000000000001,0.18095238095238095,0.0,2.533333333333333,0.06798692684790378,0.6666666666666666,5.799999999999999,1000.0,5.799999999999999,2.047816013513736
15,7,0.5733333333333334,0.21904761904761905,0.2568253968253968,2.4761904761904763,0.09043106644167025,0.4666666666666667,4.4,1000.0,4.4,1.8409429538985118
15,8,0.42666666666666664,0.17142857142857143,0.0,2.5238095238095237,0.06798692684790378,0.6,5.6,1000.0,5.6,2.0828347425857805
15,9,0.42666666666666664,0.19047619047619047,0.08444444444444445,2.4952380952380953,0.05333333333333332,0.5333333333333333,5.266666666666667,1000.0,5.266666666666667,1.9430327014160498
25,0,0.496,0.13666666666666666,0.041333333333333326,2.6233333333333335,0.05425863986500215,0.52,8.2,1000.0,8.2,2.4609621100719647
25,1,0.472,0.11666666666666667,0.049523809523809526,3.066666666666667,0.05878775382679629,0.56,7.866666666666665,1000.0,7.866666666666665,2.374949884476611
25,2,0.44799999999999995,0.11333333333333333,0.11333333333333333,3.0833333333333335,0.05878775382679627,0.6,8.333333333333332,1000.0,8.333333333333332,2.458648508852103
25,3,0.6000000000000001,0.13,0.132,2.783333333333333,0.05059644256269407,0.36,6.0666666666666655,1000.0,6.0666666666666655,2.052380664378765
25,4,0.544,0.13333333333333333,0.03447619047619047,2.7066666666666666,0.040792156108742275,0.44,7.266666666666666,1000.0,7.266666666666666,2.340369872098198
