size,k,avg_rate,density,clustering,shortest_path,std_rate,median_rate,n_comp_nodes,avg_steps,avg_l1,avg_l2
5,0,0.11999999999999988,0.4,0.0,2.0,0.16,1.0,2.533333333333333,1000.0,2.533333333333333,1.2772246431185528
5,1,0.08000000000000007,0.4,0.0,1.8,0.09797958971132709,1.0,2.5333333333333328,1000.0,2.5333333333333328,1.2407173780302316
5,2,0.1200000000000001,0.4,0.0,1.6,0.0979795897113271,0.8,2.4666666666666663,1000.0,2.4666666666666663,1.2686117996897717
5,3,0.08000000000000007,0.4,0.0,1.8,0.09797958971132709,1.0,2.6,1000.0,2.6,1.315139803109965
5,4,0.48,0.5,0.4666666666666666,1.7,0.09797958971132711,0.6,1.5333333333333332,1000.0,1.5333333333333332,0.9970300485698307
5,5,0.08000000000000007,0.4,0.0,1.8,0.09797958971132709,1.0,2.4,1000.0,2.4,1.1957277185294681
5,6,0.15999999999999992,0.4,0.0,2.0,0.14966629547095767,0.8,2.4666666666666663,1000.0,2.4666666666666663,1.2843582055502192
5,7,0.15999999999999992,0.4,0.0,1.8,0.14966629547095767,0.8,2.533333333333333,1000.0,2.533333333333333,1.341870470098881
5,8,0.11999999999999988,0.4,0.0,1.8,0.16,1.0,2.666666666666667,1000.0,2.666666666666667,1.3577728222004977
5,9,0.08000000000000007,0.4,0.0,1.8,0.09797958971132709,1.0,2.8,1000.0,2.8,1.3829537760358899
15,0,0.3600000000000001,0.17142857142857143,0.06444444444444444,2.5142857142857142,0.05333333333333332,0.6666666666666666,6.266666666666667,1000.0,6.266666666666667,2.113049662876875
15,1,0.4666666666666667,0.18095238095238095,0.23333333333333336,2.380952380952381,0.04216370213557838,0.5333333333333333,5.266666666666667,1000.0,5.266666666666667,1.9534347700038919
15,2,0.40000000000000013,0.18095238095238095,0.1511111111111111,2.6285714285714286,0.08432740427115676,0.5333333333333333,5.666666666666666,1000.0,5.666666666666666,2.0105028169803676
15,3,0.24,0.18095238095238095,0.12412698412698413,2.638095238095238,0.03265986323710909,0.7333333333333333,6.8,1000.0,6.8,2.16065101378614
15,4,0.29333333333333333,0.1619047619047619,0.09126984126984126,2.4761904761904763,0.0679869268479038,0.7333333333333333,6.066666666666666,1000.0,6.066666666666666,1.9674843505721245
15,5,0.3999999999999999,0.18095238095238095,0.03777777777777778,2.5714285714285716,0.16329931618554522,0.6,5.066666666666667,1000.0,5.066666666666667,1.7926537163322362
15,6,0.3733333333333334,0.18095238095238095,0.0,2.533333333333333,0.0997775303139718,0.6,6.066666666666667,1000.0,6.066666666666667,2.1091466913140664
15,7,0.45333333333333337,0.21904761904761905,0.2568253968253968,2.4761904761904763,0.07774602526460399,0.5333333333333333,4.866666666666665,1000.0,4.866666666666665,1.7922381740787618
15,8,0.3866666666666667,0.17142857142857143,0.0,2.5238095238095237,0.04988876515698587,0.6,5.466666666666666,1000.0,5.466666666666666,1.9038171038165266
15,9,0.42666666666666664,0.19047619047619047,0.08444444444444445,2.4952380952380953,0.09043106644167022,0.5333333333333333,5.666666666666666,1000.0,5.666666666666666,2.0365183077475466
25,0,0.5439999999999999,0.13666666666666666,0.041333333333333326,2.6233333333333335,0.07418894796396565,0.44,6.7333333333333325,1000.0,6.7333333333333325,2.110957932175372
25,1,0.36,0.11666666666666667,0.049523809523809526,3.066666666666667,0.1338656042454521,0.64,9.466666666666665,1000.0,9.466666666666665,2.5214054363913925
25,2,0.3599999999999999,0.11333333333333333,0.11333333333333333,3.0833333333333335,0.05656854249492379,0.64,10.8,1000.0,10.8,2.8471441206162815
25,3,0.56,0.13,0.132,2.783333333333333,0.03577708763999662,0.44,6.466666666666667,1000.0,6.466666666666667,2.0629951504891544
25,4,0.504,0.13333333333333333,0.03447619047619047,2.7066666666666666,0.01959591794226544,0.48,7.533333333333333,1000.0,7.533333333333333,2.2514200396718294
25,5,0.384,0.12,0.06533333333333334,3.05,0.05425863986500212,0.6,9.533333333333333,1000.0,9.533333333333333,2.5826072702297522
25,6,0.584,0.15666666666666668,0.1285714285714286,2.56,0.019595917942265416,0.4,6.133333333333333,1000.0,6.133333333333333,2.021787169989771
25,7,0.31199999999999994,0.10666666666666667,0.0,3.15,0.09927738916792686,0.72,9.733333333333334,1000.0,9.733333333333334,2.5104599437603405
25,8,0.48,0.13333333333333333,0.11942857142857143,2.8833333333333333,0.025298221281347056,0.52,8.2,1000.0,8.2,2.3964805710933943
25,9,0.392,0.12,0.064,2.8066666666666666,0.05306599664568641,0.6,9.066666666666666,1000.0,9.066666666666666,2.463357337629622
35,0,0.6342857142857142,0.1092436974789916,0.049863945578231296,2.715966386554622,0.06101187572589321,0.37142857142857144,7.866666666666667,1000.0,7.866666666666667,2.309215321189163
35,1,0.49142857142857144,0.08907563025210084,0.05564625850340136,3.0554621848739494,0.07091242083423346,0.4857142857142857,10.999999999999998,1000.0,10.999999999999998,2.739195643167556
35,2,0.6228571428571429,0.11596638655462185,0.05061224489795917,2.608403361344538,0.06614763944451557,0.4,8.133333333333333,1000.0,8.133333333333333,2.402855620101664
35,3,0.6057142857142858,0.10420168067226891,0.12272108843537417,2.880672268907563,0.04571428571428571,0.4,8.066666666666666,1000.0,8.066666666666666,2.3495228859322848
35,4,0.5314285714285715,0.0957983193277311,0.07346938775510205,3.0873949579831934,0.03875617133214438,0.45714285714285713,10.133333333333333,1000.0,10.133333333333333,2.6728471888627507
35,5,0.5599999999999999,0.11428571428571428,0.12183673469387753,2.6638655462184873,0.04642307659791976,0.45714285714285713,8.666666666666666,1000.0,8.666666666666666,2.364942931179594
35,6,0.5314285714285715,0.10252100840336134,0.08190476190476191,3.0016806722689076,0.0666394502268034,0.45714285714285713,9.333333333333332,1000.0,9.333333333333332,2.4302825268242643
35,7,0.4971428571428571,0.09915966386554621,0.0527891156462585,2.8739495798319328,0.08201542911089899,0.5142857142857142,10.799999999999999,1000.0,10.799999999999999,2.734013859376443
35,8,0.5542857142857143,0.09747899159663866,0.12040816326530612,2.954621848739496,0.09319717960171478,0.4,9.733333333333333,1000.0,9.733333333333333,2.592464820503962
35,9,0.4971428571428571,0.09243697478991597,0.05612244897959184,3.0168067226890756,0.04642307659791976,0.4857142857142857,11.333333333333332,1000.0,11.333333333333332,2.8412951891260905
45,0,0.5377777777777778,0.09292929292929293,0.062186948853615524,2.7393939393939393,0.056916659888292,0.4666666666666667,10.733333333333333,1000.0,10.733333333333333,2.5179890891365013
45,1,0.5822222222222223,0.0898989898989899,0.09523809523809526,2.907070707070707,0.04309048762147847,0.4444444444444444,10.8,1000.0,10.8,2.6839324449312216
45,2,0.6355555555555555,0.09696969696969697,0.11201058201058203,2.7333333333333334,0.022662308949301276,0.35555555555555557,9.6,1000.0,9.6,2.5365082631497087
