size,k,avg_rate,density,clustering,shortest_path,std_rate,median_rate,n_comp_nodes,avg_steps,avg_l1,avg_l2

5,0,0.1200000000000001,0.4,0.0,2.0,0.0979795897113271,0.8,2.333333333333333,1000.0,2.333333333333333,1.2332908414342367

5,1,0.24,0.4,0.0,1.8,0.08000000000000003,0.8,2.533333333333333,1000.0,2.533333333333333,1.422761998138642

5,2,0.15999999999999992,0.4,0.0,1.6,0.07999999999999999,0.8,2.533333333333333,1000.0,2.533333333333333,1.3373575415331245

5,3,0.32000000000000006,0.4,0.0,1.8,0.09797958971132717,0.6,2.2,1000.0,2.2,1.2862209897689345

5,4,0.48,0.5,0.4666666666666666,1.7,0.0979795897113271,0.6,1.4,1000.0,1.4,0.9371482352590357

5,5,0.1200000000000001,0.4,0.0,1.8,0.16,1.0,2.6,1000.0,2.6,1.3772988151752414

5,6,0.2799999999999999,0.4,0.0,2.0,0.09797958971132717,0.8,2.2666666666666666,1000.0,2.2666666666666666,1.2948629172579305

5,7,0.19999999999999996,0.4,0.0,1.8,0.0,0.8,2.5333333333333328,1000.0,2.5333333333333328,1.362825844122112

5,8,0.24,0.4,0.0,1.8,0.08000000000000003,0.8,2.4666666666666663,1000.0,2.4666666666666663,1.3918904456839198

5,9,0.08000000000000007,0.4,0.0,1.8,0.09797958971132709,1.0,2.6,1000.0,2.6,1.3170987936941256

15,0,0.45333333333333337,0.17142857142857143,0.06444444444444444,2.5142857142857142,0.06531972647421806,0.5333333333333333,5.0,1000.0,5.0,1.8921289405779649

15,1,0.4666666666666667,0.18095238095238095,0.23333333333333336,2.380952380952381,0.04216370213557838,0.5333333333333333,5.066666666666666,1000.0,5.066666666666666,1.9307914024016504

15,2,0.44000000000000006,0.18095238095238095,0.1511111111111111,2.6285714285714286,0.09043106644167022,0.5333333333333333,4.866666666666667,1000.0,4.866666666666667,1.8024809120267693

15,3,0.33333333333333326,0.18095238095238095,0.12412698412698413,2.638095238095238,0.08432740427115676,0.7333333333333333,5.866666666666665,1000.0,5.866666666666665,2.0138330342418747

15,4,0.3600000000000001,0.1619047619047619,0.09126984126984126,2.4761904761904763,0.06798692684790378,0.6666666666666666,5.7333333333333325,1000.0,5.7333333333333325,2.0058422464023673

15,5,0.42666666666666664,0.18095238095238095,0.03777777777777778,2.5714285714285716,0.09977753031397174,0.6,4.933333333333333,1000.0,4.933333333333333,1.8298148490255666

15,6,0.33333333333333326,0.18095238095238095,0.0,2.533333333333333,0.07302967433402217,0.6666666666666666,5.866666666666666,1000.0,5.866666666666666,2.0443593795422363

15,7,0.4933333333333333,0.21904761904761905,0.2568253968253968,2.4761904761904763,0.053333333333333316,0.4666666666666667,4.733333333333333,1000.0,4.733333333333333,1.8361866744434878

15,8,0.42666666666666675,0.17142857142857143,0.0,2.5238095238095237,0.09043106644167023,0.5333333333333333,5.533333333333332,1000.0,5.533333333333332,2.0886224621595253

15,9,0.44000000000000006,0.19047619047619047,0.08444444444444445,2.4952380952380953,0.10832051206181277,0.6,5.333333333333333,1000.0,5.333333333333333,1.9936797590814912

25,0,0.496,0.13666666666666666,0.041333333333333326,2.6233333333333335,0.040792156108742296,0.52,7.933333333333333,1000.0,7.933333333333333,2.3984773891929945

25,1,0.392,0.11666666666666667,0.049523809523809526,3.066666666666667,0.1274990196040738,0.52,9.266666666666666,1000.0,9.266666666666666,2.591079054510798

25,2,0.41600000000000004,0.11333333333333333,0.11333333333333333,3.0833333333333335,0.09666436778875657,0.56,8.4,1000.0,8.4,2.41132488919024

25,3,0.624,0.13,0.132,2.783333333333333,0.04079215610874228,0.36,6.6,1000.0,6.6,2.260401355280522

25,4,0.528,0.13333333333333333,0.03447619047619047,2.7066666666666666,0.05878775382679629,0.48,6.8,1000.0,6.8,2.141452956754187

